Date,ECOPETROL.CL,GEB.CL,PFCIBEST.CL,CIBEST.CL,GOOGL,AAPL,BVC.CL,NKE,IVV
2020-03-02,1376.515625,1465.9461669921875,24327.2734375,23574.76953125,240518.31676256657,252364.36659719422,5839.537109375,297949.8525169082,989209.2083934098
2020-03-03,1367.518798828125,1492.871826171875,23399.392578125,22721.32421875,229412.42979812622,241534.11423683167,5839.537109375,288955.8475570679,949775.5192565918
2020-03-04,1421.4996337890625,1507.830322265625,23910.9140625,23191.33984375,237074.61790275574,252883.65620994568,5828.5400390625,298216.6746749878,992088.5647277832
2020-03-05,1428.247314453125,1510.822021484375,23482.654296875,23216.080078125,226778.21154590696,245953.00727820396,5806.54541015625,289507.45986465923,962425.9694804773
2020-03-06,1333.7806396484375,1462.9544677734375,22887.861328125,22696.58984375,227482.04924201965,247013.30533218384,5773.5546875,287446.84328460693,963266.2854156494
2020-03-09,1066.124755859375,1385.1695556640625,19628.36328125,19431.25,216294.6617603302,230512.55826950073,5553.60986328125,277272.89686203003,898019.4133758545
2020-03-10,1048.1312255859375,1412.094970703125,20508.66796875,19616.78125,240501.78042697906,261975.74204063416,5608.595703125,308591.17610549927,1003126.1062545776
2020-03-11,1003.1469116210938,1322.34326171875,19212.001953125,18491.228515625,225978.26434898376,250217.6231212616,5608.595703125,290476.1177768707,944309.8257637024
2020-03-12,872.6928100585938,1214.64111328125,17665.52734375,17687.26171875,206340.66301241517,224314.9689396359,5278.677734375,255230.32617913932,848921.0396391749
2020-03-16,775.9769287109375,1053.087890625,14513.0947265625,14533.2392578125,211523.38060814608,232433.6822006069,5168.70556640625,243973.51528459322,869498.4029744528
2020-03-17,708.500732421875,1211.6494140625,19033.568359375,14149.806640625,226117.54322433472,248941.64209747314,5113.71923828125,261725.43994522095,948756.6722412109
2020-03-18,620.7815551757812,1166.7734375,13549.517578125,12368.7138671875,216273.20129585266,237994.50627994537,4673.82958984375,249884.45027160645,878026.0139923096
2020-03-19,638.7752075195312,1253.533447265625,13085.580078125,12616.091796875,229125.2040863037,245595.92068195343,4618.84326171875,268640.74969291687,916435.4310035706
2020-03-20,668.0149536132812,1301.4012451171875,13026.09765625,11564.748046875,216499.35522842407,226171.8522567749,4618.84326171875,253311.18237304688,860586.3990478516
2020-03-24,726.494384765625,1256.5252685546875,12669.2138671875,10946.3115234375,233941.94158935547,248805.50653457642,4618.84326171875,277470.53915405273,935041.3766746521
2020-03-25,814.2134399414062,1316.3599853515625,14572.5791015625,13605.583984375,228050.24024210125,247419.47427128255,4453.88525390625,303077.3163539171,946925.3613640368
2020-03-26,814.2134399414062,1316.3599853515625,15040.365234375,16528.115234375,234383.27816640306,253562.35780316964,4453.88525390625,314830.5999296028,977429.4159957282
2020-03-27,836.70556640625,1310.3763427734375,16661.03515625,16464.048828125,219130.60691833496,238025.10063171387,4563.857421875,304390.322265625,927505.9143066406
2020-03-30,823.2102661132812,1310.3763427734375,15899.8125,16041.236328125,221327.66869167238,239496.04379419517,4673.82958984375,305465.69350782596,936322.8729013614
2020-03-31,854.6991577148438,1346.2769775390625,16882.037109375,15439.0576171875,234031.63785153255,249324.30092142895,4860.78271484375,308798.46774208173,961997.7377446815
2020-04-01,827.7086791992188,1295.4176025390625,14954.4150390625,15374.9912109375,221742.0445432663,235955.4977607727,4728.81591796875,295385.7040023804,917839.4576301575
